,nome,endereco,latitude,longitude
164,PC CRISTINA VALENCA-01,"R. Artur Bernardes, 96 - Brasília Teimosa, Recife - PE, 51010-130, Brazil",-8.0858735,-34.8794689
165,PC CRISTO REI-01,"Parque Diamantino - R. Diamantino, 30 - COHAB, Recife - PE, 51340-550, Brazil",-8.1206607,-34.9547272
166,PC DA AMIZADE-01,"R. Nossa Sra. da Penha, 90 - Torrões, Recife - PE, 50761-150, Brazil",-8.0651583,-34.934843
167,PC DA AV MAURICIO DE NASSAU-01,"R. Odete Monteiro, 12 - Cordeiro, Recife - PE, 50711-440, Brazil",-8.0434061,-34.9224808
168,PC DA COMUNIDADE,"R. Rio Indaiá, 99 - COHAB, Recife - PE, 51280-010, Brazil",-8.1161396,-34.9476455
169,PC DA CONVENCAO-01,"Praça da Convenção, 196 - Beberibe, Recife - PE, 52130-470, Brazil",-8.00261627306729,-34.8973744423293
170,PC DA CRIANCA ALEXANDRA VILMA,"R. Dr. Benígno Jordão de Vasconcelos, 736 - COHAB, Recife - PE, 51280-400, Brazil",-8.1193922,-34.9505425
171,PC DA IGREJA-01,"R. Quinze de Novembro, 65 - COHAB, Recife - PE, 51345-060, Brazil",-8.114718,-34.9519652
172,PC DA MENTIRA-01,"R. Cap. Amaro Cerqueira, 40 - Areias, Recife - PE, 50870-360, Brazil",-8.0967964,-34.9329006
173,PC DA QUADRA/VASCO,"R. Cassatuba, 69 - Vasco da Gama, Recife - PE, 52081-100, Brazil",-8.0127297,-34.9212696
174,PC DA REDENCAO-01,"R. Gov. Lopo Garro, 347 - Engenho do Meio, Recife - PE, 50730-285, Brazil",-8.0555405,-34.9458994
175,PC DA RESTAURACAO-01,"R.Floriano Peixoto, 308 - São José, Recife - PE, 50020-060, Brazil",-8.067591,-34.8831217
176,PC DA RUA AGUA PRETA-01,"R. Vitória de Santo Antão, 141 - COHAB, Recife - PE, 51290-370, Brazil",-8.1228931,-34.9472378
